Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_to_Pickup_Minutes,Order_Day,Order_DayName,Order_Month
37,4.9,Sunny,High ,motorcycle ,Urban ,120.0,Clothing,3.0207366434610647,15.0,19,Saturday,3
34,4.5,Stormy,Jam ,scooter ,Metropolitian ,165.0,Electronics,20.143736910348597,5.0,25,Friday,3
23,4.4,Sandstorms,Low ,motorcycle ,Urban ,130.0,Sports,1.549692932239404,15.0,19,Saturday,3
38,4.7,Sunny,Medium ,motorcycle ,Metropolitian ,105.0,Cosmetics,7.774496620087613,10.0,5,Tuesday,4
32,4.6,Cloudy,High ,scooter ,Metropolitian ,150.0,Toys,6.197897916874956,15.0,26,Saturday,3
22,4.8,Cloudy,Jam ,motorcycle ,Urban ,130.0,Toys,4.602205335871525,10.0,11,Friday,3
33,4.7,Fog,Jam ,scooter ,Metropolitian ,200.0,Toys,12.182573401571702,15.0,4,Friday,3
35,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,160.0,Snacks,20.164987511903337,5.0,14,Monday,3
22,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,170.0,Electronics,19.94021940160752,10.0,20,Sunday,3
36,4.2,Fog,Jam ,motorcycle ,Metropolitian ,230.0,Toys,10.27146402322994,15.0,12,Saturday,2
21,4.7,Stormy,High ,motorcycle ,Metropolitian ,115.0,Cosmetics,6.229376076976667,10.0,13,Sunday,2
23,4.7,Sandstorms,Medium ,scooter ,Metropolitian ,105.0,Shoes,13.764305929575334,10.0,4,Friday,3
34,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,100.0,Apparel,2.9277947281095997,10.0,13,Sunday,2
24,4.7,Fog,Jam ,scooter ,Metropolitian ,205.0,Jewelry,19.37348408863585,15.0,14,Monday,2
29,4.5,Sandstorms,Jam ,van,Metropolitian ,100.0,Outdoors,13.740932234405253,10.0,2,Saturday,4
35,4.0,Windy,High ,scooter ,Metropolitian ,33.0,Grocery,6.205589948340002,15.0,1,Tuesday,3
33,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,200.0,Cosmetics,16.821191645783845,10.0,16,Wednesday,3
34,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,205.0,Snacks,10.738078032534037,10.0,20,Sunday,3
21,4.7,Windy,Jam ,motorcycle ,Urban ,75.0,Jewelry,3.789946248987921,15.0,15,Tuesday,2
